action_type,event_type,loc_x,loc_y,minutes_remaining,period,player_name,position,height,shot_distance,shot_made_flag,points,shot_type,shot_zone_basic,shot_zone_range,team_name
Layup Shot,Missed Shot,-19,21,5,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,2,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Jump Shot,Missed Shot,-171,187,4,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-154,215,10,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Running Finger Roll Layup Shot,Missed Shot,0,9,10,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,0,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Jump Shot,Made Shot,168,247,9,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,29,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Made Shot,158,211,9,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-231,74,4,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,24,0,0,3PT Field Goal,Left Corner 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-11,260,1,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Running Layup Shot,Made Shot,15,20,8,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,2,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Jump Shot,Missed Shot,230,46,8,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,23,0,0,3PT Field Goal,Right Corner 3,24+ ft.,Golden State Warriors
