id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
162234,Shot Chart Detail,21800532,134,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,2,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,15,1,1,20181229,UTA,NYK,Jazz
162235,Shot Chart Detail,21800532,144,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,1,37,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-7,97,1,0,20181229,UTA,NYK,Jazz
162236,Shot Chart Detail,21800532,272,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,4,32,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-71,247,1,1,20181229,UTA,NYK,Jazz
162237,Shot Chart Detail,21800532,293,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,2,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,152,215,1,1,20181229,UTA,NYK,Jazz
162238,Shot Chart Detail,21800532,307,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,1,28,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,51,101,1,1,20181229,UTA,NYK,Jazz
162239,Shot Chart Detail,21800532,327,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,0,4,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,17,1,1,20181229,UTA,NYK,Jazz
162240,Shot Chart Detail,21800532,353,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,10,26,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,152,204,1,0,20181229,UTA,NYK,Jazz
162241,Shot Chart Detail,21800532,356,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,9,54,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,119,148,1,0,20181229,UTA,NYK,Jazz
162242,Shot Chart Detail,21800532,362,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,9,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,150,210,1,0,20181229,UTA,NYK,Jazz
162243,Shot Chart Detail,21800532,409,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,5,2,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-76,84,1,0,20181229,UTA,NYK,Jazz
162244,Shot Chart Detail,21800532,426,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,4,14,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,14,1,0,20181229,UTA,NYK,Jazz
162245,Shot Chart Detail,21800532,428,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,4,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,0,1,1,20181229,UTA,NYK,Jazz
162246,Shot Chart Detail,21800549,8,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,11,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,2,1,1,20190101,TOR,UTA,Jazz
162247,Shot Chart Detail,21800549,48,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,7,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-106,247,1,0,20190101,TOR,UTA,Jazz
162248,Shot Chart Detail,21800549,87,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,4,28,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-126,143,1,0,20190101,TOR,UTA,Jazz
162249,Shot Chart Detail,21800549,91,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,4,8,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,8,1,1,20190101,TOR,UTA,Jazz
162250,Shot Chart Detail,21800549,104,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,2,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-143,149,1,0,20190101,TOR,UTA,Jazz
162251,Shot Chart Detail,21800549,200,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,7,50,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-56,79,1,0,20190101,TOR,UTA,Jazz
162252,Shot Chart Detail,21800549,212,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,6,48,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,6,1,0,20190101,TOR,UTA,Jazz
162253,Shot Chart Detail,21800549,228,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,6,26,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,8,1,1,20190101,TOR,UTA,Jazz
162254,Shot Chart Detail,21800549,232,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,5,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-5,256,1,0,20190101,TOR,UTA,Jazz
162255,Shot Chart Detail,21800549,271,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,2,32,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-101,25,1,0,20190101,TOR,UTA,Jazz
162256,Shot Chart Detail,21800549,274,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,2,5,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,13,14,139,1,1,20190101,TOR,UTA,Jazz
162257,Shot Chart Detail,21800549,290,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,1,3,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,4,1,0,20190101,TOR,UTA,Jazz
162258,Shot Chart Detail,21800549,298,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,0,11,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-56,130,1,1,20190101,TOR,UTA,Jazz
162259,Shot Chart Detail,21800549,321,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,10,5,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-67,245,1,0,20190101,TOR,UTA,Jazz
162260,Shot Chart Detail,21800549,339,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,8,32,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,17,1,0,20190101,TOR,UTA,Jazz
162261,Shot Chart Detail,21800549,371,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,6,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,165,205,1,1,20190101,TOR,UTA,Jazz
162262,Shot Chart Detail,21800549,390,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,4,50,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20190101,TOR,UTA,Jazz
162263,Shot Chart Detail,21800549,416,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,2,52,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,4,1,0,20190101,TOR,UTA,Jazz
162264,Shot Chart Detail,21800549,562,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,5,45,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,34,1,0,20190101,TOR,UTA,Jazz
162265,Shot Chart Detail,21800549,595,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,3,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,4,1,0,20190101,TOR,UTA,Jazz
162266,Shot Chart Detail,21800549,619,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,2,9,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-100,-11,1,1,20190101,TOR,UTA,Jazz
162267,Shot Chart Detail,21800549,651,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,0,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,185,225,1,0,20190101,TOR,UTA,Jazz
162268,Shot Chart Detail,21800549,675,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,0,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-120,227,1,0,20190101,TOR,UTA,Jazz
162269,Shot Chart Detail,21800567,94,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,4,45,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,-4,1,0,20190104,CLE,UTA,Jazz
162270,Shot Chart Detail,21800567,115,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,2,47,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,8,1,0,20190104,CLE,UTA,Jazz
162271,Shot Chart Detail,21800567,260,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,3,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,4,1,1,20190104,CLE,UTA,Jazz
162272,Shot Chart Detail,21800567,276,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,2,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,21,157,1,1,20190104,CLE,UTA,Jazz
162273,Shot Chart Detail,21800567,300,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,0,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-199,216,1,1,20190104,CLE,UTA,Jazz
162274,Shot Chart Detail,21800567,303,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,0,12,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-56,90,1,1,20190104,CLE,UTA,Jazz
162275,Shot Chart Detail,21800567,343,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,9,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-2,1,0,20190104,CLE,UTA,Jazz
